category,key,Español,Inglés,
mode,phrygian_text_1,Común en el metal y algunos subgéneros del flamenco.,Common in metal and some subgenres of flamenco.,
mode,phrygian_text_2,Único modo griego menor con segunda menor y quinta natural.,Only Greek minor mode with minor second and natural fifth.,
mode,phrygian_text_3,"Históricamente vinculado a ‘dureza, ‘ira’, ‘crueldad’ y ‘lamento’.","Historically linked to 'toughness', 'anger', 'cruelty' and 'regret'.",
mode,phrygian_text_4,Muy utilizado para comunicar emociones negativas y para generar tensión.,Widely used to communicate negative emotions and to generate tension.,
mode,lydian_text_1,Suele emplearse para generar climas particulares en el rock y la música de cine.,Usually employed to create particular climates in rock and film scores.,
mode,lydian_text_2,Único modo griego mayor con séptima mayor y cuarta aumentada.,Only Greek major mode with major seventh and augmented fourth.,
mode,lydian_text_3,"Históricamente vinculado a ‘simplicidad’, ‘modestia’, ‘suavidad’ y ‘superación’.","Historically linked to 'simplicity', 'modesty', 'softness' and 'improvement'.",
mode,lydian_text_4,Muy utilizado para comunicar emociones positivas y sensaciones oníricas.,Widely used to communicate positive emotions and dream sensations.,
mode,mixolydian_text_1,"Común en el rock, el blues y el funk.","Common in rock, blues and funk.",
mode,mixolydian_text_2,Único modo griego mayor con séptima menor.,Only major Greek mode with minor seventh.,
mode,mixolydian_text_3,"Históricamente vinculado a ‘entusiasmo’, ‘suavidad’ y ‘lujuria’.","Historically linked to 'enthusiasm', 'softness' and 'lust'.",
mode,mixolydian_text_4,Muchos artistas lo emplean para comunicar emociones positivas.,Many artists use it to communicate positive emotions.,
mode,aeolian_text_1,"Común en occidente, en géneros como el rock, el pop, el jazz y la música clásica.","Common in the West, in genres such as rock, pop, jazz and classical music.",
mode,aeolian_text_2,Único modo griego menor con segunda menor y sexta menor.,Only minor Greek mode with minor second and minor sixth.,
mode,aeolian_text_3,"Históricamente vinculado a ‘calma’, ‘tristeza’, y ‘pesadez’ y ‘añoranza’.","Historically linked to 'calmness', 'sadness', 'heaviness' and 'yearning'.",
mode,aeolian_text_4,Suele usarse para comunicar melancolía.,Usually used to communicate melancholy.,
mode,locrian_text_1,Es el modo menos utilizado en el mundo.,It is the least used mode in the world.,
mode,locrian_text_2,Único modo griego con segunda menor y quinta disminuida.,Only greek mode with minor second and diminished fifth.,
mode,locrian_text_3,"Históricamente vinculado a ‘miedo’, ‘peligro’ y ‘confusión’.","Historically linked to 'fear', 'danger' and 'confusion'.",
mode,locrian_text_4,Armónicamente es muy inestable y suele evocar incomodidad.,Harmonically it is very unstable and often evokes discomfort.,
songs,title,Canciones,Songs,
songs,subtitle,Recopilamos canciones de distintos géneros que utilizan este modo.,We compiled songs from different genres that employ this mode.,
songs,scan,Escaneá este QR para escuchar los temas completos.,Scan this QR to listen to the full tracks.,
songs,classical,Clásica,Classical,
songs,blues,"Blues, jazz y fusión","Blues, jazz and fusion",
songs,argentine_rock,Rock y metal argentino,Argentine rock and metal,
songs,international_rock,Rock y metal internacional,International rock and metal,
songs,pop,Pop,Pop,
share,title,Compartir,Share,
share,subtitle,Generamos un souvenir que podés compartir en tus redes sociales.,We generated a souvenir that you can share on social media.,
share,scan,Escaneá el código QR para acceder a tu souvenir.,Scan the QR code to access the souvenir,
share,download,Descargá la imagen en tu teléfono,Download the image on your phone,
share,social,Compartí tu souvenir en redes sociales,Share your souvenir on social media,
share,template_text,La música de Melodiás de la mente disparó estas imágenes en mi cerebro,The music of Mind Melodies triggered these images in my brain,
exit,title,Salir,Exit,
exit,subtitle,¿Seguro que querés salir?,Are you sure you want to exit?,
exit,automatic_close,Esta página se cerrará en X segundos,This window will close itself in X seconds.,
error,title,Error,Error,
error,server_error,Error del servidor,Server error,
error,server_trouble,Estamos teniendo problemas con nuestros servidores,We are having trouble with our servers,
error,server_guide,"Por favor, avisale a alguno de nuestros guías",Please let one of our guides know,
error,404_page,Esta página no existe,This page does not exist,
error,404_ID,Parece que este ID no existe,It looks like this ID does not exist,
error,not_found,No encontrado,Not found,
error,start_of_experience,Inicio de la experiencia,Start of experience,
error,totems_access,Acceso a totems,Totems access,
mode_col,title,Modo _,_ Mode,
mode_col,emotional_thermometer,Termómetro emocional,Emotional thermometer,
mode_col,joy,Alegría,Joy,
mode_col,sadness,Tristeza,Sadness,
mode_col,surprise,Sorpresa,Surprise,
mode_col,disgust,Asco,Disgust,
mode_col,fear,Miedo,Fear,
mode_col,anger,Enojo,Anger,
mode_col,positive,Positivo,Positive,
mode_col,neutral,Neutro,Neutral,
mode_col,negative,Negativo,Negative,
